artist,count
ON,934021
NP,597004
Rihanna,331434
Coldplay,327967
Taylor Swift,264918
Katy Perry,257538
Bruno Mars,251635
Michael Jackson,251444
One Direction,249959
U2,245442
Maroon 5,237137
Drake,236926
Adele,235947
A,234716
The Beatles,233813
Diana Krall,229675
Various Artists,213214
Linkin Park,209896
Eminem,201930
Queen,201270
Lady Gaga,197852
Ed Sheeran,192238
Frank Sinatra,192113
水樹奈々,188829
Chris Brown,188433
Metallica,183960
Madonna,179107
Avicii,177072
AKB48,173396
Aerosmith,167982
Pink Floyd,167857
Green Day,160026
BUMP OF CHICKEN,158308
Britney Spears,157816
Justin Bieber,156984
ABBA,151167
Bon Jovi,151048
Paramore,148642
David Guetta,148402
Perfume,147555
Muse,146971
David Bowie,145605
Red Hot Chili Peppers,145176
Led Zeppelin,142810
Ne,142759
P!nk,142574
Nirvana,141226
Usher,139910
Oasis,138843
Arctic Monkeys,138445
Radiohead,138174
Foo Fighters,128921
Avril Lavigne,128791
Justin Timberlake,127653
Demi Lovato,125345
The Rolling Stones,125049
Imagine Dragons,124061
KISS,119856
ONE OK ROCK,119115
Lana Del Rey,118559
Lil Wayne,118123
Super Junior,116367
Ellie Goulding,116281
Daft Punk,112827
Nicki Minaj,112108
Kendrick Lamar,111901
Avenged Sevenfold,111406
Dean Martin,109474
Slipknot,107758
Train,107640
Elton John,107542
Kanye West,106825
Van Halen,103603
Pearl Jam,103268
Flo Rida,99475
The Script,98753
Eagles,96588
Nickelback,96475
UVERworld,96364
Alicia Keys,94607
Erasure,94225
Prince,93726
Jason Derulo,93318
Mariah Carey,92799
Pitbull,92097
Iron Maiden,91437
Miley Cyrus,89391
Fleetwood Mac,89167
OneRepublic,89001
Bruce Springsteen,88223
Eric Clapton,88105
Wiz Khalifa,86761
Noa,86621
Kings of Leon,86358
My Chemical Romance,85313
サカナクション,84628
Lorde,84601
The Killers,84575
Elvis Presley,84377
The Cure,84050
Whitney Houston,83336
Depeche Mode,83069
田村ゆかり,82787
Ke$ha,82628
Christina Aguilera,82398
Stevie Wonder,82016
James Last,81721
Black Sabbath,81288
Def Leppard,80747
RADWIMPS,80625
2Pac,79824
Calvin Harris,78857
Janet Jackson,78162
23,77019
Stay,76576
BIGBANG,76556
The Wanted,76167
John Legend,75954
Billy Joel,75877
John Mayer,74756
Trey Songz,74115
Kelly Clarkson,73861
Genesis,73840
fripSide,73058
Jason Mraz,72768
Marvin Gaye,72567
16,72464
Lady Antebellum,72440
Bastille,70513
The Who,70317
Bob Dylan,70313
Journey,70186
The Weeknd,69089
Foster the People,68794
Nas,68636
Thievery Corporation,68585
スピッツ,68002
東京事変,67708
Evanescence,67414
Bob Marley,67377
Westlife,67372
George Strait,66684
Schiller,66522
Phil Collins,66474
Jessie J,65943
Bryan Adams,65760
Carrie Underwood,65390
Carly Rae Jepsen,65342
Tim McGraw,64817
Fall Out Boy,64682
LiSA,64308
Owl City,64095
Beyoncé,63987
Backstreet Boys,63487
ZZ Top,63429
Luke Bryan,63384
BOB,63371
Duran Duran,63046
The Doors,62908
The Black Keys,62904
Z,62798
Rascal Flatts,62511
Creedence Clearwater Revival,62496
Chicago,62318
Rick Ross,62283
Keith Urban,62273
LMFAO,61715
Simple Plan,61550
Marilyn Manson,60732
Christina Perri,60651
Love,60602
ClariS,60282
Incubus,59519
Megadeth,59480
ELLEGARDEN,59335
Jennifer Lopez,59136
Brad Paisley,58608
ポルノグラフィティ,58578
Foreigner,58497
Alice in Chains,58242
Enrique Iglesias,57905
Johnny Cash,57685
Blake Shelton,56781
Shakira,56766
Ozzy Osbourne,56740
Jason Aldean,56626
Scorpions,56485
Acid Black Cherry,56447
Sade,56446
Bring Me the Horizon,56303
Rod Stewart,56131
System of a Down,56096
Lynyrd Skynyrd,56092
Dire Straits,55921
Kenny Chesney,55683
Red,55572
Deep Purple,55563
Jimi Hendrix,55478
Selena Gomez,55421
2NE1,55232
Weezer,55199
Korn,55048
50 Cent,54361
The Police,54250
Skrillex,54200
Wale,53959
supercell,53667
Three Days Grace,53522
The Strokes,53398
Kirk Franklin,53159
No Doubt,52721
相対性理論,52576
The Offspring,52562
Neil Young,52516
Future,52488
Zedd,52435
Dream Theater,52196
YUI,52125
The Smiths,51951
3 Doors Down,51576
GLAY,51566
Robbie Williams,51379
嵐,51035
SHINee,51004
MAN WITH A MISSION,50321
The Clash,50319
Lenny Kravitz,50130
Bee Gees,50089
Blondie,49987
the GazettE,49920
Toto,49830
Alice Cooper,49698
Mirrors,49696
Pharrell Williams,49575
Toby Keith,49476
Judas Priest,49456
INXS,49308
Snow Patrol,49267
Kylie Minogue,49202
きゃりーぱみゅぱみゅ,48854
Frank Ocean,48410
Disturbed,48334
椎名林檎,48273
The Fray,48266
aiko,48094
Alabama,47792
Tyga,47663
Robin Thicke,47531
Beck,47517
UNISON SQUARE GARDEN,47498
Aretha Franklin,47400
Amy Winehouse,47383
Glee Cast,46942
Seether,46753
Î¼s,46670
Swedish House Mafia,46633
NMB48,46601
Passenger,46517
Keane,46516
Blur,46298
New Order,46273
Rush,46257
Billy Idol,46120
フジファブリック,46000
Heart,45909
Phoenix,45819
Nine Inch Nails,45804
Pantera,45685
宇多田ヒカル,45555
Skillet,45469
Aphex Twin,45435
deadmau5,45303
Angel,45264
James Brown,45249
Gotye,45153
Air,45123
Ciara,44914
μs,44883
Of Monsters and Men,44404
Santana,44298
Bullet for My Valentine,44215
シド,44195
Pet Shop Boys,44105
いきものがかり,44013
Hooverphonic,43892
Arcade Fire,43728
GRANRODEO,43365
Eric Church,43246
Alanis Morissette,43126
2 Chainz,43079
Aaliyah,43059
Daughtry,43002
OutKast,42862
Gorillaz,42810
Shinedown,42776
Miguel,42727
MGMT,42687
DIR EN GREY,42600
Zac Brown Band,42576
Yes,42409
Alive,42304
Papa Roach,42294
ももいろクローバーZ,42205
Adam Lambert,42120
John Lennon,42034
The Lumineers,41829
Al Jarreau,41810
Lifehouse,41809
Beastie Boys,41795
Sheryl Crow,41744
Boston,41702
Kalafina,41652
Shania Twain,41506
Meek Mill,41427
Nelly,41368
Electric Light Orchestra,41298
Big Sean,41212
YUKI,41110
Sting,41090
Paul McCartney,41026
Disclosure,40914
M83,40868
The xx,40827
Nelly Furtado,40771
Mumford & Sons,40702
Sum 41,40610
back number,40608
Breaking Benjamin,40350
Dierks Bentley,40349
Sia,40033
KOTOKO,40031
Luther Vandross,39933
Young Jeezy,39842
Steely Dan,39714
All Time Low,39623
Whitesnake,39525
Franz Ferdinand,39505
凛として時雨,39145
Capital Cities,38876
Five Finger Death Punch,38872
George Michael,38869
Supertramp,38719
Soundgarden,38678
Florida Georgia Line,38633
Alan Jackson,38571
Florence + the Machine,38485
SCANDAL,38482
Rammstein,38421
TLC,38383
チャットモンチー,38247
Talking Heads,38241
Colbie Caillat,38195
